Country,January,February,March,April,May,June,July,August,September,October,November,TOTAL (Jan - Dec)
United Kingdom,"16,665","20,614","21,540","13,173","8,094","9,266","20,837","17,587","8,688","10,206","12,912","159,582"
United States,"5,712","5,709","7,617","5,574","4,082","4,023","4,962","3,539","2,460","3,170","4,472","51,320"
Uruguay,12,16,11,8,20,5,3,4,7,4,6,96
Uzbekistan,402,70,71,57,32,42,64,28,31,70,56,923
Vanuatu,1,2,6,4,2,13,6,9,5,6,3,57
Venezuela,3,17,19,25,6,11,8,9,8,10,14,130
Viet Nam,166,270,304,235,290,237,279,293,183,202,346,"2,805"
Yemen ,29,65,11,26,14,43,73,45,11,21,40,378
Zambia,1,3,6,1,2,1,0,3,1,11,8,37
Zimbabwe,36,12,25,16,11,14,13,11,3,14,26,181
TOTAL,"208,253","218,350","209,181","148,867","112,128","113,470","187,810","164,609","122,140","135,907","184,158","1,804,873"
