Country,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL (Jan - Dec)
Lesotho,3,1,0,0,1,0,1,1,,1,3,2,13
Liberia,1,0,1,0,0,0,0,3,1,0,0,1,7
Libya,11,8,12,21,8,10,2,3,9,8,11,15,118
Liechtenstein,6,9,13,11,6,1,19,4,4,3,15,17,108
Lithuania,451,574,399,140,45,51,79,75,72,159,363,385,"2,793"
Luxembourg,69,75,85,220,7,10,70,82,14,20,51,58,761
Macedonia,28,18,26,19,2,8,7,10,4,7,23,14,166
Madagascar,11,7,3,5,2,6,3,113,42,5,5,5,207
Malawi,6,0,2,2,0,0,2,0,3,4,10,11,40
Malaysia,"1,481","2,070","1,998",995,754,857,"1,026","1,533","1,461","1,248","1,461","1,977","16,861"
Maldives,"6,004","4,931","7,802","4,655","1,610","3,350","3,875","4,930","4,304","3,934","5,850","9,033","60,278"
Mali,6,0,5,1,0,0,2,0,1,2,2,0,19
Malta,105,120,84,53,5,1,39,66,33,24,42,141,713
Marshall Islands,0,1,0,0,0,1,0,0,,0,0,0,2
Mauritania,18,2,0,2,0,0,3,0,1,2,1,0,29
Mauritius,100,50,97,52,4,11,35,35,25,19,25,286,739
Mexico,144,133,243,349,33,31,49,53,64,76,96,849,"2,120"
Micronesia,0,0,0,0,0,0,0,0,1,0,0,1,2
Moldova,87,83,82,16,3,15,7,14,20,19,29,74,449
Monaco,6,2,2,17,0,0,2,7,1,0,0,5,42
Mongolia,31,20,37,3,6,4,6,4,11,4,4,37,167
Montenegro,27,9,29,14,5,52,2,23,4,11,14,20,210
Morocco,128,96,147,100,6,44,48,86,69,49,93,165,"1,031"
Mozambique,4,4,3,1,0,0,1,5,6,0,3,15,42
Myanmar,248,274,310,159,163,149,185,653,265,199,234,285,"3,124"
Namibia,2,5,0,5,0,0,2,1,1,1,6,4,27
Nauru,0,0,1,0,0,0,0,0,,0,0,0,1
Nepal,495,467,417,449,331,262,409,398,425,656,509,596,"5,414"
Netherlands,"5,101","5,126","4,864","3,523",375,696,"6,385","3,520","2,673","1,659","2,213","2,858","38,993"
New Zealand,"1,067","1,070","1,437","1,483",385,615,"1,003",993,954,663,930,"1,863","12,463"
Nicaragua,1,0,3,1,0,1,0,1,0,0,0,4,11
Niger,0,0,0,0,0,1,1,0,3,0,1,0,6
Nigeria,43,13,16,4,4,5,20,8,17,13,13,16,172
North Korea,0,0,1,0,0,0,0,0,34,0,0,0,35
Norway,"1,906","2,053","1,278","1,246",172,"1,299","1,709",675,522,452,747,"1,387","13,446"
Oman,564,355,324,282,15,324,890,326,193,162,364,318,"4,117"
Pakistan,"1,543","1,496","1,081",848,169,521,782,"2,836","1,849","1,060","1,039","1,431","14,655"
Palestinian Territories,77,58,74,111,13,55,65,142,67,42,68,99,871
Panama,8,15,0,2,0,1,2,0,4,0,12,1,45
Papua New Guinea,3,0,2,1,1,0,2,6,12,3,33,35,98
Paraguay,1,3,2,2,1,0,2,4,2,0,3,2,22
Peru,33,33,44,39,9,16,17,15,22,18,14,40,300
Philippines,"1,244","1,485","1,413","1,308",759,998,"1,102","1,121","1,372","1,285","1,329","1,174","14,590"
Poland,"3,840","3,302","2,653",914,218,284,763,558,702,805,"3,496","3,361","20,896"
Portugal,452,592,806,673,94,164,243,431,251,312,520,655,"5,193"
Qatar,65,119,115,220,7,32,115,135,31,41,40,143,"1,063"
Romania,891,913,679,444,88,129,167,293,209,225,488,937,"5,463"
Russian Federation,"13,474","13,008","12,705","3,680",844,711,"1,300","1,332","1,638","5,761","14,537","17,559","86,549"
Rwanda,4,1,3,0,0,4,1,6,0,2,1,3,25
Saint Kitts And Nevis,1,5,5,5,1,6,3,5,3,2,4,4,44
Saint Lucia,0,1,1,2,0,0,0,0,4,0,1,0,9
Saint Vincent The Grenadi,3,0,3,0,0,0,0,0,,0,0,1,7
Samoa,0,1,1,0,1,0,0,0,4,0,0,0,7
San Marino,4,4,4,0,1,0,0,0,1,1,0,4,19
Saudi Arabia,"1,759","1,157","1,402","1,212",75,"1,500","2,903","2,357",985,656,805,896,"15,707"
Senegal,3,1,6,8,0,1,1,1,2,1,5,5,34
Serbia.,274,241,186,140,32,48,60,86,56,47,97,231,"1,498"
Seychelles,0,1,0,0,0,0,0,0,0,0,0,0,1
Seychells,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1,4,2,0,0,1,8,0,1,0,4,,21
Singapore,"1,117","1,500","1,824","1,037",464,904,805,"1,202","1,017",959,"1,161","1,881","13,871"
Slovakia(Slovak Republic),780,913,763,497,68,69,179,188,171,215,524,577,"4,944"
Slovenia,377,717,297,250,15,59,219,120,106,245,134,387,"2,926"
Solomon Islands,0,0,1,0,0,1,0,0,3,0,0,0,5
Somalia,15,10,11,11,1,8,6,8,0,1,1,10,82
South Africa-Zuid Afrika,870,747,"1,007",628,152,287,237,305,240,253,440,"1,966","7,132"
South Korea,"2,140","1,606","1,214",677,334,623,647,799,745,962,971,1477,"12,195"
South Sudan,0,0,3,0,0,0,0,2,6,0,0,4,15
Spain,"1,838","1,771","2,380","2,760",327,751,"2,383","4,419","1,930","1,696","2,212","2,022","24,489"
Sudan,65,25,44,59,19,34,56,54,89,26,56,57,584
Suriname,1,1,2,6,1,0,0,2,,6,0,1,20
Swaziland,0,0,1,0,0,1,0,0,1,0,0,0,3
Sweden,"4,692","4,739","2,660","1,288",197,467,574,371,427,869,"1,274","4,906","22,464"
Switzerland,"3,457","3,796","3,179","4,531",431,818,"3,421","1,311","1,304","1,453","3,559","2,721","29,981"
Syrian Arab Republic,16,32,19,15,5,13,17,0,24,2,6,3,152
Taiwan Province Of China,"1,097","1,284",889,600,111,278,364,382,655,520,399,548,"7,127"
Tajikistan,7,13,8,4,4,2,1,0,4,5,11,20,79
Tanzania,23,19,18,17,10,19,13,481,193,10,26,36,865
Thailand,938,999,983,762,547,480,569,791,611,853,"1,120","1,208","9,861"
Timor-Leste,9,2,3,0,0,0,2,1,,5,2,1,25
Togo,0,1,1,0,0,1,1,0,35,0,0,0,39
Tonga,1,0,1,0,0,0,0,2,1,0,2,0,7
Trinidad And Tobago,7,5,45,10,1,4,1,3,7,6,9,14,112
Tunisia,90,77,119,75,8,26,36,43,19,39,68,278,878
Turkey,584,692,444,335,87,161,183,339,152,157,800,"1,038","4,972"
Turkmenistan,1,21,17,6,0,3,1,1,35,1,3,7,96
Tuvalu,0,0,0,0,0,0,0,0,1,0,0,0,1
Uganda,197,5,10,5,13,8,23,14,16,6,25,36,358
Ukraine,"6,481","5,353","4,239","1,224",597,595,768,985,"1,321","2,655","4,770","6,063","35,051"
United Arab Emirates,346,271,590,479,17,130,423,439,138,139,187,369,"3,528"
United Kingdom,"26,036","29,750","29,682","24,718","2,953","4,365","13,010","14,132","8,345","8,763","16,038","20,984","198,776"
United States,"7,849","9,678","12,543","4,810","1,398","2,412","2,974","4,686","2,830","2,836","4,514","12,302","68,832"
Uruguay,12,13,6,25,5,15,4,8,6,5,8,15,122
Uzbekistan,66,51,77,37,16,22,34,30,19,34,35,118,539
Vanuatu,0,1,1,1,0,0,0,0,2,1,0,0,6
Venezuela,33,27,19,22,2,7,16,13,8,4,8,17,176
Viet Nam,189,388,499,151,107,117,199,197,211,192,206,187,"2,643"
Yemen (Yemen Arab Rep.),91,54,59,87,8,42,125,400,104,48,49,47,"1,114"
Zambia(Northern Rhodesia),11,2,9,2,0,1,5,4,3,4,15,14,70
Zimbabwe,21,13,25,29,9,4,12,13,7,19,11,37,200
TOTAL,"244,239","252,033","244,328","166,975","37,802","63,072","115,701","143,587","108,575","118,743","176,984","241,663","1,913,702"
