Country,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL (Jan - Dec)
Afghanistan,49,47,59,38,2,12,47,54,50,22,55,38,473
Albania,48,33,54,43,40,31,17,15,11,23,27,27,369
Algeria,34,32,36,32,3,8,3,17,29,16,13,49,272
Andorra,2,3,5,9,4,0,7,7,2,7,2,5,53
Angola,4,2,0,0,0,0,0,0,3,5,2,1,17
Antigua And Barbuda,1,2,7,2,0,0,0,2,0,0,5,0,19
Argentina,192,158,190,267,42,33,47,43,44,53,142,192,"1,403"
Armenia,156,92,85,65,12,16,41,81,109,91,78,157,983
Australia,"10,368","8,810","11,441","9,565","2,485","4,410","5,619","5,985","6,895","5,562","7,067","14,467","92,674"
Austria,"2,288","2,709","1,932","1,656",144,251,848,667,502,543,"1,349","1,824","14,713"
Azerbaijan,53,64,151,17,15,9,32,24,20,15,35,81,516
Bahamas,2,2,2,4,0,0,0,0,2,1,0,1,14
Bahrain,394,162,150,141,17,121,283,318,140,108,194,257,"2,285"
Bangladesh,946,731,848,593,186,509,631,804,693,665,626,"1,029","8,261"
Barbados,4,1,3,0,1,0,1,0,3,1,2,1,17
Belarus,997,930,914,142,31,24,46,88,75,225,662,662,"4,796"
Belgium,"1,278","1,681","1,646","1,626",153,561,"2,603","1,508","1,082",561,933,"1,316","14,948"
Belize,4,2,3,2,0,0,2,3,1,1,5,2,25
Benin,0,0,1,1,0,1,1,0,0,1,2,0,7
Bhutan,37,74,25,9,11,12,23,13,23,43,38,35,343
Bolivia,4,2,4,3,0,0,2,2,3,2,1,7,30
Bosnia And Herzegovina,32,33,29,14,8,9,5,15,14,10,13,34,216
Botswana,7,4,2,2,2,2,2,2,0,2,3,9,37
Brazil,330,233,310,637,46,74,122,75,115,106,318,598,"2,964"
Brunei Darussalam,4,11,6,2,0,5,0,2,5,2,2,1,40
Bulgaria,341,478,375,246,49,196,67,75,67,121,268,391,"2,674"
Burkina Faso,0,1,4,0,0,0,1,1,2,1,0,2,12
Burundi,1,1,,0,0,0,0,0,,0,0,1,3
Cambodia,128,745,"1,592",20,48,27,41,22,36,22,94,66,"2,841"
Cameroon,0,1,1,1,0,1,1,2,1,2,1,1,12
Canada,"5,840","6,469","6,011","3,741","1,575","2,827","3,826","4,052","2,438","2,385","3,053","6,512","48,729"
Cape Verde,0,0,1,0,0,0,0,0,1,2,2,0,6
Chad,0,0,4,0,0,1,1,0,,0,0,0,6
Chile,132,204,85,100,33,24,36,29,59,41,65,130,938
China,"26,414","28,039","23,759","14,263","1,589","3,496","6,926","9,503","9,231","11,683","16,312","16,648","167,863"
Colombia,88,68,67,72,33,44,34,36,57,46,58,110,713
Comoros,20,5,22,11,0,7,22,13,10,5,7,6,128
Congo The Dem Repof The,6,7,3,2,1,1,1,0,1,2,6,3,33
"Congo, Republic Of.",1,0,0,0,1,0,0,0,,0,0,1,3
Costa Rica,21,21,13,13,2,1,5,9,8,9,6,35,143
Cote Divoire,0,3,1,7,2,1,3,2,4,0,3,8,34
Croatia,452,289,218,186,30,38,64,94,66,73,147,265,"1,922"
Cuba,2,2,7,1,0,2,5,1,2,4,3,12,41
Cyprus,68,66,73,68,17,26,56,114,32,27,44,118,709
Czech Republic,"2,787","4,449","3,041","1,370",167,380,997,585,663,700,"1,631","2,434","19,204"
Denmark,"3,059","3,980","1,845","1,887",119,481,"1,741",497,416,636,763,"1,445","16,869"
Djibouti,1,0,0,0,0,0,1,4,0,1,1,1,9
Dominica,6,5,7,6,0,7,3,5,4,5,5,9,62
Dominican Republic,5,3,9,3,0,2,3,7,7,4,44,24,111
Ecuador,14,11,12,10,2,3,3,11,8,3,10,31,118
Egypt,320,304,364,487,85,168,221,296,265,290,423,485,"3,708"
El Salvador,1,5,5,4,1,3,4,3,5,6,6,3,46
Eritrea,3,3,6,3,1,4,4,1,2,8,5,2,42
Estonia,501,559,268,143,17,11,39,19,23,167,156,613,"2,516"
Ethiopia,9,11,19,16,3,11,9,15,9,7,16,14,139
Fiji,23,17,17,13,5,7,10,5,10,10,14,13,144
Finland,"1,589","1,668","1,007",364,58,167,153,112,104,216,446,"1,144","7,028"
France,"11,892","17,295","13,957","9,148","1,120","1,989","7,142","7,087","2,929","3,383","4,857","6,824","87,623"
Gabon,1,0,0,0,0,0,0,1,1,0,0,2,5
"Gambia, The",1,0,1,0,1,0,0,0,1,2,1,0,7
Georgia,102,64,53,26,18,23,39,34,26,58,66,56,565
Germany,"14,027","17,268","18,134","16,930","1,767","3,312","8,385","7,667","6,396","7,820","20,844","12,349","134,899"
Ghana,8,6,13,29,4,1,3,8,11,4,13,8,108
Greece,766,694,643,619,419,387,475,515,495,507,539,921,"6,980"
Grenada,0,2,2,0,0,0,0,0,1,0,1,0,6
Guatemala,7,8,9,6,0,4,2,5,3,4,15,6,69
Guinea,0,2,0,1,0,0,1,0,4,2,2,0,12
Guinea-Bissau,0,2,0,0,0,0,0,0,1,0,1,0,4
Guyana,6,1,1,1,0,0,0,0,1,2,0,0,12
Haiti,1,0,1,3,0,0,1,0,0,0,1,2,9
Honduras,16,8,4,4,9,4,2,5,2,1,11,10,76
Hong Kong,0,2,0,6,0,1,0,1,0,0,0,1,11
Hungary,845,856,623,267,66,53,102,90,99,169,322,599,"4,091"
Iceland,65,112,57,29,10,10,12,8,13,33,47,31,427
India,"40,049","32,286","34,812","23,431","11,246","15,048","18,309","37,568","28,917","33,217","31,677","48,442","355,002"
Indonesia,490,484,532,256,227,278,339,479,519,454,318,543,"4,919"
Iran,204,326,"1,025",205,51,73,104,117,253,394,220,277,"3,249"
Iraq,95,54,113,58,7,23,64,133,49,76,92,88,852
Ireland,"1,067","1,110","1,224","1,105",111,256,417,472,315,484,627,"1,066","8,254"
Israel,"1,899","1,532","1,077","1,266",308,429,"1,245","1,785","1,576","1,411",760,"1,482","14,770"
Italy,"6,433","5,363","4,309","3,303",452,675,"1,431","3,340","1,016",947,"3,917","4,961","36,147"
Jamaica,2,7,14,12,0,2,7,3,1,2,0,8,58
Japan,"3,553","4,878","4,611","2,203",578,880,"1,311","2,428","2,250","1,832","1,825","3,730","30,079"
Jordan,370,240,295,342,23,161,182,268,146,193,348,517,"3,085"
Kazakhstan,509,327,266,109,13,32,41,35,58,91,220,698,"2,399"
Kenya,68,58,41,52,16,24,37,615,427,30,59,132,"1,559"
Kiribati,0,0,0,2,0,0,0,0,2,1,0,0,5
Kosovar,1,9,0,1,0,0,1,3,5,3,4,4,31
Kuwait,545,467,246,247,37,159,331,520,98,123,135,331,"3,239"
Kyrgyzstan,91,43,54,36,8,7,11,17,21,13,12,84,397
Lao Peoples Dem. Rep.,7,13,22,18,2,6,5,8,11,8,25,4,129
Latvia,373,282,274,97,30,25,26,32,51,125,227,314,"1,856"
Lebanon,389,410,576,661,77,184,291,410,287,163,377,479,"4,304"
